id,odi_no,date,venue,host_country,venue_status,team1,team2,toss_winner,toss_decision,result,dls_applied,winner,team1_runs,team2_runs,team1_overs_played,team2_overs_played,team1_wickets,team2_wickets,team1_runs_from_extra,team2_runs_from_extra,win_by_runs,win_by_wickets,player_of_the_match,umpire1,umpire2,reserve_umpire,tv_umpire
21,4376,25/03/2022,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,PNG,Nepal,field,normal,0,PNG,286,292,50,50,8,8,13,20,6,0,Charles Amini,Durga Subedi,Raveendra Wimalasiri,Vinay Kumar,
22,4377,26/03/2022,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,PNG,Nepal,bat,normal,0,PNG,278,283,50,48.4,8,7,8,23,0,3,Lega Siaka,Raveendra Wimalasiri,Vinay Kumar,Durga Subedi,
23,4404,09/06/2022,"Moosa Cricket Stadium, Pearland",USA,neutral,Nepal,Oman,Oman,bat,normal,0,Oman,198,211,49.4,50,10,8,10,8,13,0,Zeeshan Maqsood,Jermaine Lindo,Sameer Bandekar,Leslie Reifer,
24,4406,11/06/2022,"Moosa Cricket Stadium, Pearland",USA,away,Nepal,USA,Nepal,bat,tie,0,None,274,274,49.2,50,10,6,21,18,0,0,Steven Taylor,Leslie Reifer,Vijaya Mallela,Jermaine Lindo,
25,4410,14/06/2022,"Moosa Cricket Stadium, Pearland",USA,neutral,Nepal,Oman,Oman,bat,normal,0,Nepal,167,163,33.1,46.5,3,10,7,12,0,7,Karan KC,Jermaine Lindo,Vijaya Mallela,Leslie Reifer,
26,4411,15/06/2022,"Moosa Cricket Stadium, Pearland",USA,away,Nepal,USA,Nepal,bat,normal,0,USA,206,245,47.4,50,10,7,5,6,39,0,Gajanand Singh,Leslie Reifer,Sameer Bandekar,Jermaine Lindo,
27,4422,11/07/2022,"Cambusdoon New Ground, Ayr",Scotland,neutral,Nepal,Namibia,Namibia,bat,normal,0,Namibia,180,220,46.5,47.3,10,10,9,9,40,0,Jan Nicol Loftie-Eaton,Allan Haggo,Ryan Milne,Shiju Sam,
28,4425,13/07/2022,"Titwood, Glasgow",Scotland,away,Nepal,Scotland,Nepal,field,normal,0,Nepal,146,144,25.1,42.5,5,10,6,6,0,5,Aasif Sheikh,Allan Haggo,Shiju Sam,David McLean,
29,4430,16/07/2022,"Cambusdoon New Ground, Ayr",Scotland,neutral,Nepal,Namibia,Namibia,bat,normal,0,Namibia,136,199,37.5,49.2,10,10,11,6,63,0,Bernard Scholtz,Allan Haggo,David McLean,Shiju Sam,
30,4432,17/07/2022,"Titwood, Glasgow",Scotland,away,Nepal,Scotland,Scotland,field,normal,0,Scotland,128,130,35.5,19,10,2,9,8,0,8,Calum MacLeod,Ryan Milne,Shiju Sam,David McLean,
